epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.8895,1.39805,2.15048,1.49242,0.60243,0.48547,0.51308,0.30464,1.75294,1.98802,1.78869,0.000554511,0.000554511,0.000554511
2,166.115,1.38457,1.64396,1.4758,0.63227,0.48836,0.54132,0.33527,1.69164,2.10425,1.72636,0.0010882,0.0010882,0.0010882
3,240.977,1.36403,1.51255,1.4608,0.68459,0.518,0.57218,0.36466,1.74321,1.76384,1.79979,0.00159988,0.00159988,0.00159988
4,315.606,1.34479,1.48898,1.46017,0.7192,0.58393,0.64629,0.43088,1.55276,1.51243,1.63151,0.00156798,0.00156798,0.00156798
5,390.868,1.29171,1.38538,1.42394,0.7476,0.56961,0.64591,0.43759,1.55536,1.49577,1.6471,0.00153497,0.00153497,0.00153497
6,465.727,1.2694,1.32768,1.40027,0.76541,0.56583,0.64237,0.44186,1.54218,1.43418,1.59025,0.00150197,0.00150197,0.00150197
7,540.393,1.25062,1.29953,1.39142,0.74052,0.5623,0.64092,0.44045,1.53941,1.63652,1.60446,0.00146896,0.00146896,0.00146896
8,615.074,1.20267,1.25356,1.37047,0.77679,0.64101,0.71469,0.48682,1.45396,1.26731,1.53359,0.00143595,0.00143595,0.00143595
9,689.19,1.18691,1.21813,1.35755,0.77712,0.6424,0.71282,0.48278,1.46729,1.21903,1.53441,0.00140295,0.00140295,0.00140295
10,763.4,1.1761,1.1843,1.34835,0.80808,0.62669,0.70457,0.48492,1.44902,1.23244,1.53788,0.00136994,0.00136994,0.00136994
11,837.826,1.16093,1.15397,1.33965,0.78751,0.63949,0.71754,0.49929,1.399,1.21126,1.48572,0.00133693,0.00133693,0.00133693
12,912.283,1.14693,1.1443,1.33029,0.7446,0.67971,0.73091,0.50523,1.41727,1.20731,1.51012,0.00130393,0.00130393,0.00130393
13,986.493,1.14665,1.13865,1.32666,0.803,0.67922,0.74823,0.51944,1.38097,1.11121,1.47185,0.00127092,0.00127092,0.00127092
14,1060.81,1.12633,1.11719,1.32064,0.82026,0.6745,0.75032,0.52256,1.35226,1.10793,1.46454,0.00123791,0.00123791,0.00123791
15,1135.18,1.12444,1.09207,1.31412,0.80841,0.68914,0.75862,0.53774,1.32667,1.07901,1.44188,0.00120491,0.00120491,0.00120491
16,1209.4,1.10276,1.07921,1.30523,0.84465,0.66857,0.75959,0.53773,1.31764,1.06646,1.4392,0.0011719,0.0011719,0.0011719
17,1283.73,1.10833,1.0796,1.30704,0.82599,0.69156,0.76972,0.54381,1.31887,1.03491,1.43189,0.00113889,0.00113889,0.00113889
18,1358.45,1.07716,1.03653,1.28435,0.84116,0.68924,0.76558,0.53883,1.31121,1.03849,1.41639,0.00110589,0.00110589,0.00110589
19,1433.01,1.09042,1.05123,1.2973,0.84105,0.70799,0.77989,0.5506,1.30895,0.99779,1.42387,0.00107288,0.00107288,0.00107288
20,1507.89,1.08098,1.03213,1.29013,0.83953,0.69423,0.7713,0.54705,1.30962,1.0132,1.42349,0.00103987,0.00103987,0.00103987
21,1582.22,1.07656,1.01928,1.28387,0.84953,0.70197,0.77566,0.54764,1.29152,0.98317,1.39868,0.00100687,0.00100687,0.00100687
22,1656.41,1.06609,1.0129,1.27931,0.82557,0.70311,0.78045,0.55072,1.30194,0.99817,1.4207,0.000973861,0.000973861,0.000973861
23,1730.68,1.0505,1.00197,1.26987,0.83002,0.70497,0.78031,0.55559,1.27329,0.99957,1.41085,0.000940855,0.000940855,0.000940855
24,1804.84,1.04704,0.98245,1.27353,0.84903,0.70525,0.78617,0.55914,1.26191,0.97708,1.39057,0.000907848,0.000907848,0.000907848
25,1879.5,1.03097,0.96911,1.25943,0.83048,0.7315,0.78766,0.56063,1.26332,0.95897,1.38889,0.000874842,0.000874842,0.000874842
26,1953.55,1.03231,0.96985,1.26102,0.84422,0.72334,0.80122,0.57184,1.24631,0.93295,1.37021,0.000841835,0.000841835,0.000841835
27,2027.93,1.02644,0.95302,1.24899,0.8562,0.72674,0.79799,0.57326,1.23862,0.91787,1.3722,0.000808828,0.000808828,0.000808828
28,2102.49,1.03083,0.96395,1.26009,0.86175,0.71676,0.79594,0.57732,1.23406,0.91937,1.38074,0.000775822,0.000775822,0.000775822
29,2176.81,1.01368,0.93791,1.24633,0.86155,0.70925,0.79522,0.57505,1.22115,0.93184,1.36585,0.000742815,0.000742815,0.000742815
30,2251.35,0.99904,0.92344,1.23761,0.85135,0.72604,0.79915,0.57656,1.23014,0.91469,1.37284,0.000709809,0.000709809,0.000709809
